Name,UserName,Desc
Early Years,EarlyYearsEW,"Early Years is Education Week's early-childhood education blog, written by reporter Christina Samuels. RTs do not imply endorsement."
Lorna Sheridan,Kettle77,I don't tweet from this account but invite you to follow me @svhighered
Edlyn Pena,EdlynPena,Faculty member at California Lutheran University.  Expertise in Autism and Higher Education.
Sue Parsons Ed.D.,DrParsons_In14,"Principal, Richard Bard Elementary School, Hueneme Elementary School District."
Connie Matthiessen,CMMatthiessen,"Writer, editor & parent of three teens -- San Francisco"
Greg Toppo,gtoppo,USA Today natl education & demographics writer. Author of THE GAME BELIEVES IN YOU: How Digital Play Can Make Our Kids Smarter (out 4/21/15) gtoppo@usatoday.com
Marta Jewson,martajewson,"Education reporter @thelensnola. MN native. Lost my accent in New Orleans reporting on charter schools. Minneap public schools grad, #OnWisconsin. Pup=Jockamo."
Brianna Hill,briannimal,
Harvard CEPR,HarvardCEPR,Leveraging the overwhelming amount of #eddata to address previously intractable #edpolicy questions. RT or following ≠ endorsement
Donovan Godt,DonovanGodt,"Interested in all aspects of growth, development, and communication."
Sara,LetsPlay_Music,"Music educator with a fledging blog sharing ideas about how to do music with your kids at home & in the classroom. Follow for musical fun, songs & games!"
Alfonso Pérez,AlfonsoPrez1,"Lector y cinéfilo. También gusta del teatro y la música. Sus compañeras en el auto son Eugenia,Lila,Susana, Alondra y Filippa así que nunca anda mal acompañado."
California CTE,CaliforniaCTE,The Twitter feed for the Career and College Transition Division at the California Department of Education
Mary Leland,MaryLeland1,"Passionate, busy lady who by the grace of God unconditionally loves my family, my church, my community and my funny french bulldogs!"
CJ Chuapoco,SeeCeej,"Miscellany, insights, and random thoughts. Lliving in DC, working @GMMB."
Cal Health Jobs,CalHealthJobs,"California’s population is growing larger, older and more diverse. We need a culturally competent, language-proficient health workforce to provide quality care."
Ofelia Medina,ofemedina,Owner of a travieso german shepherd and nina to a beautiful 6 yr old. #Life #ECE #CivicEngagement
Michelle Noel Maitre,michelle_maitre,"College and career readiness reporter at EdSource Today. Print dinosaur at heart. Fan of World of Warcraft, Tauren and cross stitch."
Elizabeth Cavagnaro,eliecav,Operations and Finance @ChildrenNow. Opinions expressed are mine.
Jenny Inglee,jennyinglee,"Writer for @theirc. Journalist published in @GOOD, @TakePart & @imagination. Human rights and education advocate."
Susan Ochshorn,ECEPolicyWorks,"Policy curator, human capital nurturer, and social change addict"
Susan E. Davis,Susan_E_Davis,"Writer/editor, public ed advocate, runner, natural history buff,  backyard chicken raiser."
First 5 California,First5CA,Helping California's Children Grow up Healthy and Ready to Succeed in School
Martha Guerrero,MGuerreroWSac,Legislative Representative for Los Angeles County and Licensed Clinical Social Worker
Joe Austin,joeaustin92075,
Gino Garcia,gino_cenzo,"Political junkie, pizza snob, bourbon drinker, and 90's cartoon aficionado. Currently working on behalf of Microsoft public affairs at Waggener Edstrom."
Darren Battaglia,darrenbattaglia,Educator. Geek. Man about town. I'm interested in teacher induction and making a better tomorrow now.
Dorai Thodla,dorait,"An entrepreneur, occasional coder,  lover of scifi, books and all things humorous. Want to be a builder of communities, a good mentor and teacher."
Mart2_718,mart2_718,"Father of 2 Daughters and Husband of 1 wife. PhD Candidate @UCLA Urban Schooling Program, Assistant Mathematics Professor Santa Ana College"
Vallejo Times-Herald,vjotimesherald,Serving Solano and Napa counties since 1875.
Activate ED,ActivateED,"Broad Center, Harvard's Strategic Data Project & Education Pioneers collaborate to place #analytics leaders & managers in #education fellowships #edchat #eddata"
Karin Lundquist,KarinLundquist,Illuminator @Illuminate Education
Evan Decker,EvanDecker3,"Mills Graduate Student MA/MBA in Ed Leaderhsip, tweeting on all things ED, Consultant in ED Programs and Workforce Readiness"
Yvette Carter,_ettey,"Full-time human Be-ing and human Do-ing. // Global Citizen. // Youth Development and Social Sector Advocate // I tweet, RT & MT those things of interest to me."
Joshua Staab,joshua_staab,"Multimedia journalist, writer, snowboarder, adventurer, proponent of life and California native."
Debbie Peralez,DebbiePeralez,"Executive Director, Child Start, Inc. - Operating the Napa-Solano Head Start Program"
The Notebook,PSNotebook,"Education news and views from the Philadelphia Public School Notebook, an independent nonprofit news organization."
EALESLIE,EALESLIE,"I enjoy snowboarding, surfing and anything related to water. My world revolves around my husband, daughter and dog. I spend my time at work educating voters."
Carrie Hahnel,CarrieHahnel,"Researcher, advocate for students, Alameda resident, sleepless mom of two"
Amber Martinez,amartinez_LA,"Native Angeleno, Doing well while doing good; Views are my own"
jessica price,jessicagprice,Advisory Board Member @Loft_LAtinas
Brustein&Manasevit,BrumanGroup,"Established in 1980, Brustein & Manasevit is recognized for its federal education regulatory and legislative practice. Retweets are not endorsements."
MEG805,meg805,"UC Alumni - Research, Evaluation & Car enthusiast. Tweets include politics, education, entertainment & life."
Rachelle Lopp,rlop,
ChrisBluestone 4HUSD,ChrisB4HUSD,
Romi Kim,number1rk,Interested in education and innovation!
Linda Guidi,linguine46,Proud mom and passionate middle school teacher and union activist
Paul Warren,PWarren78,"Explorer, education professional and technology enthusiast."
Mary Clare Bly,marycbly,
June Bayha,jbayha,mom of 2 / education transformer / project director @WestEd / photographer / equus coach / explorer
Michael Higham,highammichael,"Project and Internship Manager @CreativeRound. Education Writer on @IVNetwork. @UCSanDiego c/o '12, Grossmont College c/o '10, Morse High c/o '08."
Craig Triplett,Craig_Triplett,"I manage digital content for TESOL International Association. I'm also an avid reader. Sometimes I write. When I do, I always wish it were better."
Barbara Feder Ostrov,barbfederostrov,Communications officer for @LPFCH @kidsdata. Used to edit @ReportingHealth. Covered medicine for @MercNews. I tweet on health & journalism.
Samantha Carr,zfrenchaccent,"2012 District Teacher of the Year! in El Monte, CA.  Department Chair for Foreign Languages, teaching French 1994-?.  Using foreign languages to enhance CCSS."
Angelica Solis,CaliBear,"Interests include local Los Angeles politics, world news and the Latino community nation-wide. The views expressed here are my own."
Calanthe Spanhel,calspanhel,Studying to be a primary school teacher. Love art and life in general.
Tutors For Less,tutorsforless,Call us Toll Free @ 1-877-840-6195. We are Canada's leading provider of professional in-home tutoring. Estab.  by school principals.  http://t.co/g2H8AQ7dSe
Gov. Brown Press Ofc,GovPressOffice,Official twitter handle for the press office of @JerryBrownGov.
Ashley Martinez,Mrs_A_Martinez,t e a c h e r / l e a r n e r
Veronika Delvaux,VDelvo,"I am a computer application & office technology instructor, Moodle site administrator, and online course developer by profession, and a knitter by passion!"
Susan Frey,SueCFrey,
Marina Olson,wherevershegoes,"Contributing Editor: Between Two Coasts on @EthikaPolitika. It's life, and it's real, and it's sort of all we have. Check me out: http://t.co/K2P2SH09dN"
AugustDVickland,AugustDVickland,
Tom Ross,twitross,Partner at Meridian Pacific
Matt Levie,PSDMatt,I'm a Trustee of the Pacifica School District. This is a personal feed and in no way represents the District.
PUC Schools,PUCSchools,"PUC Schools is a non-profit charter school management organization with over 10 elementary, middle, and high schools in Los Angeles and the San Fernando Valley."
Brenda Robinette,Brendadrob,
Erin Joyce,ErinAJoyce1,"Education. Policy. Research. Working on rural education, collaboration, and understanding what works. 
Tweets are mine. 
RTs not endorsements."
Katie Osgood,KatieOsgood_,"A special education teacher in Chicago.  I think our education system might need an IEP, we don't seem to be learning..."
Albert Wat,albert_wat,"Personal musings about education, politics, pop culture, and everyday life. Tweets and RTs are my own."
John Merrow,John_Merrow,"Correspondent for PBS @newshour, President of @lmtv. Tweets & blog R my views, not NewsHour's. Blog: http://t.co/wxIr6heARz. My book: http://t.co/MFI8CejOOM"
Lea Darrah,darrahclan,
Michael,eCivis_Michael,"Increase Your Grant Funding with an easy grants management system trusted by over 30,000 clients!"
Maria Haro-Sullivan,mharosulli,
College Access Fdn,CollegeAccessCA,College Access Foundation of California makes grants to organizations and programs that help students with financial need attend and complete college.
Macro MSW,undrcvrsocialwk,"Uncovering the social side of relationships,health/wellness, business, technology, policy, nonprofit leadership, politics, education, & media. Tweets = mine."
School and Society,IESFoundations,
Chad Peace,ChadPeace,"President - IVC Media LLC      
Editor @IVNetwork. Cook. Politics. Non-Partisan. Both Parties are the Problem."
jackiekhorliu,jackiekhorliu,
Fuse Corps Oakland,Fuse_Oakland,"Thank you @ChildrenNow for an amazing @FuseCorps fellowship year! I also tweet about #ed, #children, #xsector, etc. as @CGinCali"
Tony Shivers,tshivers1,Government Affairs Professional-Ed Policy; Penn Stater (WE ARE!); North Carolina is my home/heart. Newly Passionate 5Ker for good causes
Dalina Castellanos,dalinac,"Downtown dweller, food-lover and fun-haver. Flour tortilla snob. Former @latimes reporter. Originally from Nogales, Ariz."
Gina Dalma,GinaDalma,
Donna Mace,DMace8,Public school teacher and supporter.    BAT
CCCSBA,CCCSBA,Contra Costa County School Boards Association
Crecen,svcrecen,Silicon Valley Delivered.  Offering Silicon Valley startup expertise to the rest of the world.
louisebarbee,pusdasp,"Louise Barbee is Pittsburg Unified School District's After School Program Coordinator. PUSD serves over 1,300 students every day in their After School Program."
Troy Miller,TroMiller,"Sr. Researcher & Policy Analyst @ Florida College Access Network. Follow @GOAL2025Florida for more college/career access, success and completion in FL tweets."
Jodie Beckley,jodiebeckley,"VP, School Improvement Solutions @ Catapult Learning."
Carol Jean Dickson,carol_dickson,
Anthony Hernandez,Education_Envoy,| Idea Innovator | Education Enthusiast | Community Advocate | Education Director | @Harvard Grad | Thought Leader | Change Agent | Eternal Optimist |
Coreen Lee,MoxieCoreen,"Living life with a bit of moxie! 
Pursuing a life of exploration, imagination, creativity & good wine. A leader & strategic, innovative thinker. Fight on!"
SFER California,SFER_CA,Community of California college students committed to educational justice and closing the achievement gap
Beyond451,Beyond451Apps,Software for the education revolution. Check us out at http://t.co/gXLGwUC2TG and at http://t.co/Q9AfeLdTs1
ben ruch,benruch1,
Sandra Hdez-Millett,KPMediaSandra,"Ex-anchor reporter, doing media relations for Kaiser Permanente. On deadline? Need interview about medical research & our community benefit programs? Tweet me!"
Nora Fleming,NoraFleming1,"Development & Policy Communications Manager at Children Now, former EdWeek reporter. Tweets are mine alone."
The Mind Trust,TheMindTrust,A nonprofit that is driving innovative K-12 reform in Indianapolis to ensure every child has the opportunity to receive an excellent education.
Chris blassingame,mrscblassingame,
Elizabeth Romero,eromero760,
Terrence Willett,TerrenceWillett,Community College Research and Planning
St.Aug LearningCntr,StAugLearnCntr,Adult literacy program providing #GED test preparation at St. Augustine Church in the Tremont neighborhood of #CLE Mondays 6-8 pm & Tuesdays 4-6 pm
Dan Cohen,dcstpaul,"Founder, Full Court Press Communications (PR, Social, Crisis, Thought Leadership)  More tweets from FCP team at @FullCourtPress @hershsarah @aprilbthomas"
Jon Mays,JonMays,"Editor in chief, San Mateo Daily Journal"
Clara Galán,MsClaraGalan,"M.A. Education/ESL Ed, marketing manager @RemindHQ, former social media @edutopia, exploring the future of our #education and #edtech from Silicon Valley."
The Letter People,TheLetterPeople,"Sharing resources, inspiration, and advice for elementary and early childhood educators. #edchat #kinderchat #magicofreading"
CarolHirota,CarolHi,"Stockton Unified School District.
Pacific.SLP.DeltaGamma.JrLeague. SFGiants.SF49ers.Golf.Family"
Spunky Teacher,SpunkyTeacher,"Educator, Researcher, and Treasure Hunter with Spunk!  Sharing and learning from you!"
Ashlee Goetz,aegoetz,
Elizabeth J. Meyer,lizjmeyer,"Teacher ed prof. @calpoly researching gender stereotypes, #bullying & harassment in schools. #edtech #feminism #lgbt tweets too!"
Jack Torres,JackTorres17,
stanleywits,stanleywits,"Sharing ideas and thoughts about relevant ideas in our world of architecture, business, food, health, sustainability, travel, books, philosophy, and art."
George Stranahan,GeorgeStranahan,Educator. Photographer. Opponent of testing and oppressive schools.  Just published: A Predicament of Innocents: Might the Schools Help?
Wildwoods Foundation,WildwoodsLA,Building Community by Exploring Nature. We teach individuals to understand and apply the principles of ecology to achieve harmony in our communities. 2012 GEELA
Evan Morrison,evanstruth,"American. Critical Thinker. Filmmaker, Entrepreneur. Libertarian (in a way), a-religious. Fan of the A's & Forty-Niners. Corgi owner. Burner. Husband & Dad"
Adolfo Guzman-Lopez,AGuzmanLopez,Reporter for Southern California Public Radio/KPCC 89.3FM. I wrote the Movie Miento blog:
CAREER ENDEAVOUR,NETJRFCoaching,"CSIR-UGC-NET Coaching|UGC-CSIR-NET Study Material |NET/GATE Test Series| 011-26851008, 27241845, 9899628311."
Hema Sareen Mohan,HemaSareen,
John Gutierrez,Senorg01,
CBEE,Ed4Jobs,"California Business for Education Excellence (CBEE) is a leading, unifying voice for California business leaders committed to improving public education."
Aisha Knowles,ACBOEArea4,"Updates from Aisha Knowles, Alameda County Board of Education Trustee for San Leandro, Ashland, San Lorenzo, Castro Valley & West Dublin. Opinions are my own."
Alexis,alexisdmiller,
Uduak Ntuk,UduakLB,"Youth Mentor, Engineer, and Soccer Coach in Long Beach, CA. Tweets are my own opinion."
zsimo,zsimo30,
Francine Podenski,fppod,Professor & media analyst
Mary Ma.Us,MaroMaUs,"Aprendiz de la vida, la tecnología y la educación."
Gabriel Matias,_matias_gabriel,
The Hawn Foundation ,hawnfoundation,Helping children find happiness and success in school and in life.
SNARC,SnarcMaster,
John Hetts,jjhetts,I work in institutional research in a large urban community college in California.  Any and all tweets reflect my opinion only.
CCAE,CCAEAssoc,"CCAE  takes the lead in promoting adult education, providing professional development, and effecting change to serve the needs of adult education in California."
James V. Lee,jamesvlee,"Passionate about education reform using technology and public/private partnerships, as well as helping nonprofits to innovate and achieve scale.  Also soccer..."
Susy Montiel ,susymontiel_,
Peter Schurmann,PSchurmann,New America Media
Miss Rosales,miss_arlyn,
STEAMConnect,STEAMConnect,"A forum for science, technology, engineering, arts and math collaboration + collection of resources for all things STE+aM."
Gaie Perez,gaieperez,"Christ Follower, Wife, Mom, Instructional Coach who works to live out  a life of joy! :)"
Melanie Nenni,Sacred78,
Jane Adams,JaneAdams,Senior reporter for student health at http://t.co/M4xa46hunv.
MaricelaC,MaricelaC,"VP/VPE Public Relations.  Social media manager, luv animals, community advocate and environmentalist. President of HPRA-Los Angeles"
SmartestK12,SmartestK12,Build Smarter Assignments and watch your students grow!  Upload materials you have or start from scratch.  The Ultimate Productivity App for Teachers - CNN .com
Josh Morgan,joshdmorg,"Family, comms, digital, reader/writer.  I work at Edelman. Helper of Big Brothers Big Sisters of El Dorado County. Teach PR/Social Media at UC Davis Extension."
Suzette Morrow,suzettemorrow,"Artist and Art Educator~http://t.co/NIyejoHwnM H.S. & M.S. Art Teacher, Drawing, Painting, 3-D, AP Studio, Ceramics and iPads 1:1.
Believer."
Sarah Krummel,sarahkrummel,"Educator, answer finder, observer of social minutiae.

Make everything as simple as possible, but not simpler.     -Albert Einstein"
MRC,EdTechMRC,Technology
Tyfahra Singleton,Tyfahra,
SBHC Oral Health,oralhealthSBHCs,School-Based Health Alliance advances and advocates for school-based health care - including oral health care for kids and teens.
Lisa Aliferis,laliferis,"Editor, State of Health, KQED's blog about all things health in California: how the ACA plays out here, health disparities, public health. RTs not endorsements."
ReclaimCCSF,ReclaimCCSF,"City College of San Francisco


#CCSF"
Robin Stewart,rhredhawk,"Robin Stewart, Principal of Rolling Hills Elementary, land of the Redhawks."
Karen Wilson,kwilson_klw,Instructional STEM Coach for the Los Altos School District. On a mission to find creative ways to integrate STEM topics into the classroom.
Smile Again Now,DrAndreaSmith,General Dentist & Author. #SMUD campaign: http://t.co/QgKUCAdcbz + Blog: http://t.co/6WUgjlXYSO + commercial: http://t.co/gudLlPUQyR App: http://t.co/PjvOpc8pA7
Elizabeth Wilmot,squeaky1423,ELIZABETH WILMOT OFFICIAL SITE (lol)
"CampusUnity, Inc.",Campus_Unity,"CampusUnity, Inc. is a network of instructors and leaders, providing PD and creating opportunities for teaching in P-20 education."
thetownproject,thetownproject,We are a group of parents and educators seeking to open an early college high school in West Oakland.
DCS County News,DCS_CountyNews,"Keeping California county gov't on top of new developments, strategies & policies being pursued by fellow counties http://t.co/Ps38ewfTYK"
SSU CCE,SSUCCE,"SSU Center for Community Engagement: Connecting Classroom, Campus, & Community|Tweets by Merith Weisman & student assistants. @ssucceEvntLstng & @ssuccejoblstng"
FrianBoy88,FrianBoy88,
The Greatest Pitch,GreatestPitch,Helping entrepreneurs obtain funding & exposure for their companies while providing entertaining & educational content for millions - http://t.co/Zp4ieEwBV0
Max Espinoza,maximusdesamus,"First gen college grad, immigrant, equity advocate, non-profit executive, former senior policy advisor to California state officials. Tweets are my own!"
Gloria Page,GloriaPage,"PhD student: Claremont Graduate University, Urban Leadership
MAT@USC Rossier  '12
Capstone with Math emphasis 
MBA at Chapman University '11"
Green Chalk,GreenChalkEDU,"We build software that helps schools and campuses make decisions. A small group doing big things in student retention, recruitment & wellness. Join us!"
Mark W. Taylor,mwtaylor,"Husband, Dad, futbol fanatic, & foodie. Tweets & opinions are my own."
Alicia Herald,aliciaherald,"Founder & CEO @myEDmatch /
Changing the way teachers and schools find each other  /
TFA alumni & former executive director
/ Passionate educator"
Cathia,CathiaSanchez,
Caitlin L-T,seaelletea,
youthradio,youthradio,"Delivering youth perspectives to massive audiences through outlets like @NPR, @MarketplaceAPM, @NatGeo, and @HuffingtonPost."
Student Studio,MyStudentStudio,Student Studio Sessions is designed to help teachers use music to connect with their students in an engaging way in the classroom.
Ken Kubo,kmkubo,"Former biotechnology and microbiology professor now serving as Interim Dean of Planning, Research & Technology, American River College."
Tony Dodero,tdodero,PR and Communications Consultant and dad blogger whose most important job is being a husband and father of three awesome children.
Stephanie McAuliffe,StephanieMcA,"Having fun, exploring the world, learning about nonprofit organizational and network effectiveness."
Course Pods,CoursePods,The best online content + local community support = an awesome educational experience.
George Bullis,PrincipalBullis,Principal of Desert Hot Springs High School
Kristina Rizga,KristinaRizga,Live in high schools as an education reporter. Still homesick for Latvia. Dog lady.
"Kristen Doran, LPC",Kristen_Doran,Counselor | LPC Supervisor | Educator | Learner [counseling; psychology; mental health & wellness]
Bob Miller,EdServicesatPCC,Assistant Superintendent/Senior Vice President Business and College Services
NERCHE,NERCHE,"Updates from the New England Resource Center for Higher Education,  University of Massachusetts Boston. #HigherEd"
Alfonzo Porter,VertexPressLLC,"Managing Partner, Vertex Learning, LLC, Former Educ. Contributor Washington Post (The Root DC) . TV/Radio Commentary, Educational Consultant, Speaker"
The Staff Room *New*,teachers_only,What really goes on in the staff room during the lunch hour? Fab tweets to keep you entertained during your breaks! Follow at your own risk!!
Jerry Winthrop,JerryWinthrop,"Education Programs Consultant, CA Dept. of Education"
Napa COE,NapaCOE,The Napa County Office of Education - Your Partner for Educational Excellence.
FoxAdvocacy,FoxAdvocacy,"Our office represents clients from a variety of backgrounds, seeking justice on civil rights related issues.
Facebook: http://t.co/UxaO0cl6qJ"
C7i.org,C7iorg,C7i is a 501(c)3 nonprofit organization with a mission to  shift the Education and Parent paradigms by understanding the childs creative Gifts.
Julie Bouck,rocks_julie,"Mother of two, wife, teacher, and student."
Professor Van Ry,ProfessorVanRy,Professor of Sociology. Transforming lives through higher education. A liberal education teaches students not just how to make a living but how to live.
Parents Union - CT,CTparentsunion,CT Parent's Union;a parent & guardian membership association established to advocate for educational rights of children from birth through college graduation
Luke Richards,luke_jr,"New father, PhD ABD,  interests in: edtech, assistive technologies, e-learning, system change, application of BYOD in K-12"
Anne Hawley,AnneWHawley,
Cathy Bozzini,CathyBozzini,"Educator, Principal of Callison Elementary School"
Nathan Estel,NathanEstel1,30-something who is passionate about education and the policies shaping it. I'm also likely to find random mischief appealing. Posts are my own.
Marmax Products Ltd,MarmaxProducts,"Marmax Products Ltd is the leading manufacturer of 100% UK recycled plastic, low maintenance outdoor furniture, planters, fencing and boardwalks."
Pacifica Ed Fdn,PacificaEdFdn,"PEF is all-volunteer, non-profit. We provide funding to support specific academic and enrichment programs across every grade level and school in the  PSD."
Core Knowledge,ckschools,Providing all children the background knowledge and skills they need to read with comprehension and think critically
Angelica Chavez,MzChavez99,
Elisa,Msemg,"Artist, Traveler, Sister, Friend, Music Books and Poetry Lover, Union Organizer"
Leah McGrath,lnmcgrath,"passionate, creative, energetic professional school counselor lifelong educator and learner always looking to create positive change"
Instructional Tech,MCInstrucTech,"The Moorpark College Instructional Technologist Twitter feed. Tweeting about Instructional Technology announcements, articles, recommendations, and tips."
National Head Start,NatlHeadStart,"The National Head Start Association's mission is to coalesce, inspire and support the Head Start field as a leader in early childhood development and education."
Kane Bradford,Kane_Bradford,"Manager @ AITSL, teacher, basketball tragic and professional learning enthusiast."
Jessica Gunderson,gundy_l,
Scott Lay,scottlay,"The geek behind http://t.co/E9iDVPGSJ1, http://t.co/twbs7lIjCW and The Nooner."
Art Dobbs,abogey18,
Lisa Koontz,lisa27koontz,"Mom, teacher, low-tech chic trying to learn."
ScottU,saunser,"living vicariously through myself No matter where you go, there you are Backpacker,scuba,photography and partaker of life"
CalEndow Schools,CalEndow_SCHOOL,Health Happens in Schools promotes safe & healthy school environments that are necessary for academic and life achievement.
teachersquawk.com,teachersquawk,http://t.co/7Xppxndx is an organization dedicated to making education reform the hot topic it needs to be in legislative sessions and media outlets!
ChildrensPartnership,KidsPartnership,The Children's Partnership is a nonprofit organization working to ensure all children have the opportunities to grow up healthy and lead productive lives.
Sarah Bragg,Sbragg55,
Children's Movement ,TCMFresno,We are building an army of citizens who believe children should be THE priority  in all of our decisions throughout Fresno including how we invest resources.
Antonius Widiarto,awidiarto,
The War Room,TheWarRoomCTV,"The War Room Mon-Thurs 6E/3P on @Current TV. 

Tune in and get fired up! You'll be smarter for it. #TheWarRoom"
Chris J. Johnston,sbcc_cjjohnston,Professor of English at Santa Barbara City College
Malcolm Brudigam,malcbru,
SystemEd2013,SystemEd2013,all things learning
Biliteracy,biliteracy,"Triliteracy 4 many, biliteracy 4 most, & literacy 4 all youth everywhere! Advantages of multilingual learning paths 4 K-12 students are clear!"
Anthony Matthews,WineCap,Press Secretary for @PhilTing. State budget nerd. Capitol strategerist.
Redwood City Schools,RWCSchools,"Educating Every Child for Success. Historic district educating local students since 1895.  Today, about 9,000 K-8 students are enrolled in our schools."
CharterSchoolCapital,GrowCharters,We empower charter schools by providing working capital and facilities financing so they stay focused on educating students. Tweets about charters + education.
Jaime Martin,JaimeMartin_pro,Multimedia Ed master's student; fascinated by educational innovations.
Kristin Corey,CoreyKrisc,"educator, student advocate, excited learner"
Mark Campo,MarkCampo_EdTec,
Lesli Maxwell,l_maxwell,"Reporter at Education Week, America's newspaper of record on all issues preK-12.guhq"
Bryan Ha,BryanHa1,
UESF,UESF,"UESF represents more than 6,000 San Francisco Unified School District employees including teachers, paraprofessionals, nurses, counselors, and psychologists"
Valerie Braimah,valeriebraimah,Edupreneur|Professional Developer|Ed Reform Strategist|Convener|Soccer player-fan-mom
Education Outside,EduOutside,We bring learning to life in public school gardens.
Netchemia TalentEd,Netchemia,"Meet Ted, the only superhero with the power to automate recruiting, hiring, HR processes, and teacher evaluations for K-12 districts and institutions."
Kristin Connelly,kristinconnelly,"Working mom, chicken farmer, Mini-Cooper fan, and former lawyer dedicated to improve economic vitality and quality of life in the East Bay."
Danielle Barcena,daniellebarcena,Filmmaker. Science/Magic enthusiast. Taking movies out of my brain and putting them into yours with @cinemaduo
CS Coordinators,CScoordinators,The Community Schools Coordinators Network brings together Community School coordinators working to coordinate school and community partnerships.
PACE,edpolicyinca,"Policy Analysis for California Education (PACE) is an independent, non-partisan research center based at Stanford University, UC Berkeley and USC."
Amy Lea,amyleametz,Student. Future educator. Teach. Passion. Driven.
Teacher Lee,ItsTeacherLee,I am a developmental teacher. Play Is Learning!
Reading Partners SV,RPsiliconvalley,Reading Partners is a national nonprofit empowering community volunteers to help students gain the reading skills they need to reach their full potential.
JCorcoran Foundation,JohnCorcoranFDN,"JohnCorcoran, the Teacher Who Couldn't Read, learned to read at age 48. http://t.co/TPl1f9Ml We're the New Voice of Literacy."
Melissa KellyOrtega,melissajko,
Larissa B Parecki,lparecki,"Using my passion to make a positive impact on society by helping underprivileged & underserved populations through advocacy, service and collaborative efforts."
CEPA,StanfordCEPA,"CEPA at Stanford, an independent research center, provides the depth and scale of research needed to affect education policy in meaningful ways."
WebTeach.Com,WebTeach_Inc,"We provide a global platform that empowers parents, educators and learners to create and in engage in on-demand, best of class education anywhere, anytime!"
AEFP,aefpweb,"Association for Education Finance and Policy (AEFP), a non-profit academic and professional organization."
SchoolsRule in Marin,SchoolsRule,SchoolsRule: the first and only cross-county organization to collaborate with every school district in Marin to provide a quality education for each student.
Daniel M. Jimenez,DMJreports,"Editor, Breaking News Team, Bay Area News Group (@CCtimes, @insidebayarea, @mercnews).   http://t.co/BNa2UOzgQt"
Rick Hurd,3rdERH,"Covering crime, public safety Mon-Fri for @cctimes and @insidebayarea. Proud dad of two boys, baseball coach and fervent follower of greatest game ever invented"
CDF-California,cdfca,Children's Defense Fund-California: a nonprofit advocacy organization working to ensure a level playing field for all children.
Paul Smith,prsmith2009,Marketing at LearnSprout but tweets are occasionally political and all me. Former 4th grade teacher and summer camp leader. #skate #kayak #camp #hike
Donovan Lee-Sin,donovanls,
leigh huang,szleigh,
Kandace Knudson,2kmk,"Educator, writer, vegetarian, dog devotee."
Iowa Reasons,IowaReasons,A new way of critical thinking about different Iowa topics. #criticalthinking #iowareasons
K.Shaver-Hood Ed.D.,ksh321,superintendent of schools.  interested in improving and increasing student academic opportunities.
CoCo EHSD,ehsd,This is a twitter feed for Contra Costa County's Employment & Human Services Deptartment.
Melissa Hampton,m_hampton_,Director of Professional Learning
Pavel GOVCIYAN,pgovciyan,"French, equity analyst @Natixis_com (tweets are personal of course), media fanatic, #francophonie enthusiastic (with @Jbodin75), chess player and much more..."
Megumi Tsutsui,MegumiTsutsui,
Elsie Guerrero,Elsie_Guerrero,USF Graduate Senator representing the College of Arts & Sciences. Leader. Law. Politics. Community Service. Serving the public and common good.
Tom Kaun,BaliBound,
Jeannette Alday,Jalday143,"Assistant Principal, Delaine Eastin Elementary. Past President, Alameda County Reading Association. New Haven Unified School District"
Geoman,prince_geo,Transitions and searches...
Jeremy Graham,graham_jeremy,55yo; College teacher MS MSEd and long-time non-profit worker and volunteer.  Favorite charities are Marshall Chess Foundation and Housing Works (NYC).
ChildCareInfo.com,Child_Care_Info,"http://t.co/iZ58Swoy6T is for all child care professionals.  Bridging the gap in communication for one common goal, excellent child care! Tweets by @skayd80"
Michael Watkins,suptwatkins,Santa Cruz County Office of Education Superintendent of Schools.
Pearson ELL,PearsonELL,There are more than 400 different languages spoken in schools across the United States. How are you helping your ELLs? #ELL
ASCD,ASCD,"ASCD is a global community dedicated to excellence in learning, teaching, and leading. ASCD’s innovative solutions promote the success of each child."
Choice P20,ChoiceP20,Partnering with State and Local Education Agencies to deliver enterprise IT services and solutions.
alvincrawford,alvincrawford,"CEO of Knowledge Delivery Systems, a provider of online professional development to help educators transform their teaching for  21st Century learners."
William Munoz,HanfordHalo,"I live in the domed city of Hanford, California, where it's a constant 72°. I love my wife & 3 kids. I like the Angels, Steelers and Lakers. #UniteBlue"
jennifer trainor,jstrainor,"English professor @ SFSU; writing teacher, author Rethinking Racism"
Matt,mattrhill65,
TFA Bay Area,TFABayArea,"One day, all children in this nation will have the opportunity to attain an excellent education."
Mary Anne James,majcoe,"Associate Superintendent, Santa Cruz County Office of Education"
Mary Hart,marysccoe,"Associate Superintendent, Business at Santa Cruz County Office of Education"
Parent Partnership,parent_partner,
CDI Computers,CDIComputers,"North America's largest distributor of recertified, brand name computers to the educational market.  We provide more computers for the same budget."
Craig Kersemeier,CraigKersemeier,
Julianne Nichols,juliannenichols,"Communicating, Connecting, & Collaborating for Student Success. Links/RTs do not imply endorsements or organizational views."
suzanne spurgeon,UTLASuz,"UTLA Dir. of Communication, media consultant and former CNN VP/LA Bureau Chief"
GuideStar USA,GuideStarUSA,Ensuring the nonprofit sector is strong enough to tackle the great challenges of our time. Curated by @lindsaynichols @courtneycherico & others
